Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/03 9:00:00,7.893755425,1.004664844,2.912038355,0.00E+00,1.830797992,0.00E+00,5.08E-02,5.08E-02,5.08E-02,0.241054754,4.94E-02,0.268690864,0.37961819,1.055090426
01/03 10:00:00,5.511643943,0.842290144,1.906592097,0.00E+00,0.923598675,0.00E+00,2.56E-02,2.56E-02,2.56E-02,0.123205778,2.53E-02,0.33003376,0.323085777,0.960737712
01/03 11:00:00,4.315351824,0.826199075,1.337496062,0.00E+00,0.465366597,0.00E+00,1.29E-02,1.29E-02,1.29E-02,0.101778637,2.09E-02,0.344876896,0.33068422,0.849350337
01/03 12:00:00,3.161555735,0.829635002,0.770061328,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.361120015,0.330785532,0.747275221
01/03 13:00:00,2.969011418,0.814789051,0.688443201,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.351846255,0.325213341,0.666040933
01/03 14:00:00,2.82770736,0.792036528,0.640931024,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.317848037,0.336459036,0.617754098
01/03 15:00:00,2.737042886,0.79223188,0.596055328,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.107135439,2.20E-02,0.292642405,0.355404486,0.571573348
01/03 16:00:00,2.872058028,0.854486795,0.601985244,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.133919315,2.75E-02,0.302863858,0.375160437,0.576142379
01/03 17:00:00,3.445509136,1.083676026,0.661923102,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.224984415,4.61E-02,0.353721026,0.443749045,0.631355522
01/03 18:00:00,4.531816877,1.502758382,0.789255269,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.417828218,8.57E-02,0.445070293,0.539084171,0.752120544
