Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 11/24  17:00:00,1.05092876192309,0.614158786757834,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.252525635495347,5.179548670070621E-002,0.357323476299952,0.374209151367082,0.588381450778420 
 11/24  18:00:00,1.46122556230378,0.836595137073633,0.000000000000000E+000,0.108880100433174,0.000000000000000E+000,3.020155019787333E-003,3.020155019787333E-003,3.020155019787333E-003,0.448361776116323,9.196341822437572E-002,0.448200887087803,0.454604313795488,0.696399693091039 
 11/24  19:00:00,1.67983944625083,0.827420662147534,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.613276543345842,0.125789046924207,0.402135745161050,0.493563074759733,0.793421650742721 
 11/24  20:00:00,1.58357245104502,0.844318319854590,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.613276543345842,0.125789046924207,0.319977700404031,0.509454148310937,0.809224654456133 
 11/24  21:00:00,1.50596796003386,0.788282602272227,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.566894283765064,0.116275592688450,0.280754567951364,0.526968503568985,0.751982463386148 
 11/24  22:00:00,1.37217413088127,0.773879288536544,0.000000000000000E+000,5.571577021329051E-002,0.000000000000000E+000,1.545463885701172E-003,1.545463885701172E-003,1.545463885701172E-003,0.479283349001372,9.830573468757482E-002,0.263298834297921,0.514665736948699,0.682710853496771 
 11/24  23:00:00,1.11370146893808,1.10608414521271,0.000000000000000E+000,0.503108621627100,0.000000000000000E+000,1.395540620425820E-002,1.395540620425820E-002,1.395540620425820E-002,0.355597323452631,7.293650975286112E-002,0.210759978638061,0.445377238830273,0.572295785580884 
 11/24  24:00:00,0.870640718766479,1.55634678896840,0.000000000000000E+000,1.07719607292399,0.000000000000000E+000,2.987964847564910E-002,2.987964847564910E-002,2.987964847564910E-002,0.247372051097483,5.073843623006651E-002,0.140551037640066,0.387024533263215,0.452490594586247 
 11/25  01:00:00,0.634143342346248,2.02403183897878,0.000000000000000E+000,1.66584609241199,0.000000000000000E+000,4.620783245216667E-002,4.620783245216667E-002,4.620783245216667E-002,0.128839609946605,2.642627540535341E-002,9.746637271672108E-002,0.320128239765401,0.336133765307692 
 11/25  02:00:00,0.535672763611560,2.17006879898837,0.000000000000000E+000,1.87738687644596,0.000000000000000E+000,5.207562609166699E-002,5.207562609166699E-002,5.207562609166699E-002,7.730376596796329E-002,1.585575705959550E-002,8.060881882127541E-002,0.294753783611058,0.272377856531225 
 11/25  03:00:00,0.496877794079976,2.49785686463932,0.000000000000000E+000,2.22257694276240,0.000000000000000E+000,6.165063114234823E-002,6.165063114234823E-002,6.165063114234823E-002,5.153583732885577E-002,1.057050879820527E-002,6.670945631181069E-002,0.291336348438756,0.255211265326740 
 11/25  04:00:00,0.490967452151211,2.74297933380257,0.000000000000000E+000,2.46313065776231,0.000000000000000E+000,6.832319579828680E-002,6.832319579828680E-002,6.832319579828680E-002,5.153583732885577E-002,1.057050879820527E-002,5.822747193387166E-002,0.287235426231993,0.260062510843284 
 11/25  05:00:00,0.494070614397548,2.87388976726936,0.000000000000000E+000,2.54362494860904,0.000000000000000E+000,7.055597511790382E-002,7.055597511790382E-002,7.055597511790382E-002,5.153583732885577E-002,1.057050879820527E-002,6.994821153264806E-002,0.276385069559933,0.311226078502000 
 11/25  06:00:00,0.550371108716657,3.23720351993977,0.000000000000000E+000,2.68260455500094,0.000000000000000E+000,7.441104095842598E-002,7.441104095842598E-002,7.441104095842598E-002,5.668942837650642E-002,1.162755926884497E-002,8.414454375261503E-002,0.308423524300266,0.533353261083662 
 11/25  07:00:00,0.704202385481002,3.51184560747916,0.000000000000000E+000,2.53774967033553,0.000000000000000E+000,7.039300455579164E-002,7.039300455579164E-002,7.039300455579164E-002,9.791810355942018E-002,2.008397258151521E-002,0.144379240132471,0.356353052591803,0.949548615597935 
 11/25  08:00:00,0.947449353728860,3.30663364227246,0.000000000000000E+000,2.21459072810010,0.000000000000000E+000,6.142910667455741E-002,6.142910667455741E-002,6.142910667455741E-002,0.190682622720976,3.911088105302981E-002,0.232499890129222,0.378651817091075,1.06595954589366 
 11/25  09:00:00,0.909108599501717,2.69270193818162,0.000000000000000E+000,1.63029267024341,0.000000000000000E+000,4.522163896037278E-002,4.522163896037278E-002,4.522163896037278E-002,0.185529038323112,3.805383058239011E-002,0.305100839810440,0.320128239765401,1.04035728667910 
 11/25  10:00:00,0.816602134562274,1.89761623050199,0.000000000000000E+000,0.929793599846090,0.000000000000000E+000,2.579094615792359E-002,2.579094615792359E-002,2.579094615792359E-002,0.103071687957284,2.114102305215491E-002,0.379068446223123,0.272455019111786,0.949054611377734 
 11/25  11:00:00,0.821151565489077,1.64816912600405,0.000000000000000E+000,0.789789713311774,0.000000000000000E+000,2.190746846985995E-002,2.190746846985995E-002,2.190746846985995E-002,8.761093476369174E-002,1.796985800087490E-002,0.399725582134799,0.278862710059853,0.839170000674741 
 11/25  12:00:00,0.817027025325353,0.759263663894220,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.761093476369174E-002,1.796985800087490E-002,0.417423074561626,0.278948145939160,0.740048366640161 
 11/25  13:00:00,0.798489020039327,0.681120021141281,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.761093476369174E-002,1.796985800087490E-002,0.403584042637515,0.274249172577245,0.662228411896095 
 11/25  14:00:00,0.769929028284952,0.634223093264080,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.761093476369174E-002,1.796985800087490E-002,0.365540668280003,0.283732555180382,0.614678222764621 
