Year,Month,Day,Hour,Minute,Energy Generated (kW)
2019,1,10,8,0,6.20E-01
2019,1,10,8,30,9.96E-01
2019,1,10,9,0,1.66E+00
2019,1,10,9,30,1.97E+00
2019,1,10,10,0,2.19E+00
2019,1,10,10,30,2.41E+00
2019,1,10,11,0,2.56E+00
2019,1,10,11,30,2.66E+00
2019,1,10,12,0,2.71E+00
2019,1,10,12,30,2.69E+00
2019,1,10,13,0,2.61E+00
2019,1,10,13,30,2.47E+00
2019,1,10,14,0,2.26E+00
2019,1,10,14,30,1.99E+00
2019,1,10,15,0,1.68E+00
2019,1,10,15,30,1.30E+00
2019,1,10,16,0,8.67E-01
2019,1,10,16,30,4.19E-01
2019,1,10,17,0,0.00E+00
2019,1,10,17,30,0.00E+00
2019,1,10,18,0,0.00E+00
2019,1,10,18,30,0.00E+00
2019,1,10,19,0,0.00E+00
2019,1,10,19,30,0.00E+00
2019,1,10,20,0,0.00E+00
2019,1,10,20,30,0.00E+00
2019,1,10,21,0,0.00E+00
2019,1,10,21,30,0.00E+00
2019,1,10,22,0,0.00E+00
2019,1,10,22,30,0.00E+00
2019,1,10,23,0,0.00E+00
2019,1,10,23,30,0.00E+00
2019,1,11,0,0,0.00E+00
2019,1,11,0,30,0.00E+00
2019,1,11,1,0,0.00E+00
2019,1,11,1,30,0.00E+00
2019,1,11,2,0,0.00E+00
2019,1,11,2,30,0.00E+00
2019,1,11,3,0,0.00E+00
2019,1,11,3,30,0.00E+00
2019,1,11,4,0,0.00E+00
2019,1,11,4,30,0.00E+00
2019,1,11,5,0,0.00E+00
2019,1,11,5,30,0.00E+00
2019,1,11,6,0,0.00E+00
2019,1,11,6,30,0.00E+00
2019,1,11,7,0,0.00E+00
2019,1,11,7,30,1.60E-01
2019,1,11,8,0,3.93E-01
2019,1,11,8,30,7.27E-01
2019,1,11,9,0,1.17E+00
2019,1,11,9,30,1.25E+00
2019,1,11,10,0,1.21E+00
2019,1,11,10,30,1.53E+00
2019,1,11,11,0,1.91E+00
2019,1,11,11,30,1.89E+00
2019,1,11,12,0,2.43E+00
2019,1,11,12,30,2.12E+00
2019,1,11,13,0,2.04E+00
2019,1,11,13,30,2.29E+00
2019,1,11,14,0,1.76E+00
2019,1,11,14,30,1.59E+00
2019,1,11,15,0,1.12E+00
2019,1,11,15,30,7.61E-01
2019,1,11,16,0,4.54E-01
2019,1,11,16,30,1.11E-01
2019,1,11,17,0,0.00E+00
2019,1,11,17,30,0.00E+00
2019,1,11,18,0,0.00E+00
2019,1,11,18,30,0.00E+00
2019,1,11,19,0,0.00E+00
2019,1,11,19,30,0.00E+00
2019,1,11,20,0,0.00E+00
2019,1,11,20,30,0.00E+00
2019,1,11,21,0,0.00E+00
2019,1,11,21,30,0.00E+00
2019,1,11,22,0,0.00E+00
2019,1,11,22,30,0.00E+00
2019,1,11,23,0,0.00E+00
2019,1,11,23,30,0.00E+00
2019,1,12,0,0,0.00E+00
2019,1,12,0,30,0.00E+00
2019,1,12,1,0,0.00E+00
2019,1,12,1,30,0.00E+00
2019,1,12,2,0,0.00E+00
2019,1,12,2,30,0.00E+00
2019,1,12,3,0,0.00E+00
2019,1,12,3,30,0.00E+00
2019,1,12,4,0,0.00E+00
2019,1,12,4,30,0.00E+00
2019,1,12,5,0,0.00E+00
2019,1,12,5,30,0.00E+00
2019,1,12,6,0,0.00E+00
2019,1,12,6,30,0.00E+00
2019,1,12,7,0,0.00E+00
2019,1,12,7,30,2.13E-02
2019,1,12,8,0,7.80E-02
2019,1,12,8,30,1.58E-01
2019,1,12,9,0,1.93E-01
2019,1,12,9,30,6.48E-01
2019,1,12,10,0,8.71E-01
2019,1,12,10,30,2.21E-01
2019,1,12,11,0,1.70E-01
2019,1,12,11,30,2.62E-01
2019,1,12,12,0,6.71E-01
2019,1,12,12,30,1.79E+00
2019,1,12,13,0,7.61E-01
2019,1,12,13,30,1.26E+00
2019,1,12,14,0,1.01E+00
2019,1,12,14,30,1.45E+00
2019,1,12,15,0,1.54E+00
2019,1,12,15,30,1.28E+00
2019,1,12,16,0,6.52E-01
2019,1,12,16,30,4.25E-01
2019,1,12,17,0,0.00E+00
2019,1,12,17,30,0.00E+00
2019,1,12,18,0,0.00E+00
2019,1,12,18,30,0.00E+00
2019,1,12,19,0,0.00E+00
2019,1,12,19,30,0.00E+00
2019,1,12,20,0,0.00E+00
2019,1,12,20,30,0.00E+00
2019,1,12,21,0,0.00E+00
2019,1,12,21,30,0.00E+00
2019,1,12,22,0,0.00E+00
2019,1,12,22,30,0.00E+00
2019,1,12,23,0,0.00E+00
2019,1,12,23,30,0.00E+00
2019,1,13,0,0,0.00E+00
2019,1,13,0,30,0.00E+00
2019,1,13,1,0,0.00E+00
2019,1,13,1,30,0.00E+00
2019,1,13,2,0,0.00E+00
2019,1,13,2,30,0.00E+00
2019,1,13,3,0,0.00E+00
2019,1,13,3,30,0.00E+00
2019,1,13,4,0,0.00E+00
2019,1,13,4,30,0.00E+00
2019,1,13,5,0,0.00E+00
2019,1,13,5,30,0.00E+00
2019,1,13,6,0,0.00E+00
2019,1,13,6,30,0.00E+00
2019,1,13,7,0,0.00E+00
2019,1,13,7,30,2.13E-01
2019,1,13,8,0,5.25E-01
2019,1,13,8,30,9.95E-01
2019,1,13,9,0,1.39E+00
2019,1,13,9,30,1.64E+00
2019,1,13,10,0,1.70E+00
2019,1,13,10,30,2.06E+00
2019,1,13,11,0,1.98E+00
2019,1,13,11,30,2.16E+00
2019,1,13,12,0,1.74E+00
2019,1,13,12,30,1.58E+00
2019,1,13,13,0,1.64E+00
2019,1,13,13,30,1.50E+00
2019,1,13,14,0,1.08E+00
2019,1,13,14,30,6.95E-01
2019,1,13,15,0,4.77E-01
2019,1,13,15,30,4.19E-01
2019,1,13,16,0,3.17E-01
2019,1,13,16,30,1.34E-01
2019,1,13,17,0,3.16E-03
2019,1,13,17,30,0.00E+00
2019,1,13,18,0,0.00E+00
2019,1,13,18,30,0.00E+00
2019,1,13,19,0,0.00E+00
2019,1,13,19,30,0.00E+00
2019,1,13,20,0,0.00E+00
2019,1,13,20,30,0.00E+00
2019,1,13,21,0,0.00E+00
2019,1,13,21,30,0.00E+00
2019,1,13,22,0,0.00E+00
2019,1,13,22,30,0.00E+00
2019,1,13,23,0,0.00E+00
2019,1,13,23,30,0.00E+00
2019,1,14,0,0,0.00E+00
2019,1,14,0,30,0.00E+00
2019,1,14,1,0,0.00E+00
2019,1,14,1,30,0.00E+00
2019,1,14,2,0,0.00E+00
2019,1,14,2,30,0.00E+00
2019,1,14,3,0,0.00E+00
2019,1,14,3,30,0.00E+00
2019,1,14,4,0,0.00E+00
2019,1,14,4,30,0.00E+00
2019,1,14,5,0,0.00E+00
2019,1,14,5,30,0.00E+00
2019,1,14,6,0,0.00E+00
2019,1,14,6,30,0.00E+00
2019,1,14,7,0,0.00E+00
2019,1,14,7,30,2.10E-02
2019,1,14,8,0,6.09E-02
2019,1,14,8,30,9.75E-02
2019,1,14,9,0,1.07E-01
2019,1,14,9,30,8.44E-02
2019,1,14,10,0,2.70E-01
2019,1,14,10,30,4.28E-01
2019,1,14,11,0,1.35E-01
2019,1,14,11,30,3.61E-01
2019,1,14,12,0,3.09E-01
2019,1,14,12,30,2.67E-01
2019,1,14,13,0,1.22E-01
2019,1,14,13,30,5.23E-01
2019,1,14,14,0,1.95E-01
2019,1,14,14,30,1.25E-01
2019,1,14,15,0,1.45E-01
2019,1,14,15,30,9.83E-02
2019,1,14,16,0,2.80E-02
2019,1,14,16,30,7.90E-03
2019,1,14,17,0,0.00E+00
2019,1,14,17,30,0.00E+00
2019,1,14,18,0,0.00E+00
2019,1,14,18,30,0.00E+00
2019,1,14,19,0,0.00E+00
2019,1,14,19,30,0.00E+00
2019,1,14,20,0,0.00E+00
2019,1,14,20,30,0.00E+00
